area,bedrooms,bathrooms,floors,location,parking,furnishing,property_type,age,price
1715,5,1,1,Jaipur,1,Unfurnished,Villa,5,17436845.16846298
1455,2,3,3,Prayagraj,2,Unfurnished,House,24,7696264.749698952
2824,3,1,2,Jaipur,1,Semi-Furnished,House,4,24965267.712169614
1684,3,4,2,Kanpur,2,Semi-Furnished,Apartment,29,10757626.521606596
959,5,4,3,Jaipur,1,Unfurnished,Apartment,11,10832887.748002723
3885,5,4,1,Delhi,1,Unfurnished,House,3,52289245.390208185
521,2,4,2,Delhi,0,Furnished,Apartment,23,7374160.213554436
2800,4,1,1,Bangalore,1,Furnished,House,28,38048477.918137774
1247,2,3,2,Kanpur,1,Furnished,Apartment,8,8964791.37142641
3404,5,3,3,Kanpur,0,Unfurnished,Apartment,3,22869547.553002212
974,5,3,3,Noida,2,Unfurnished,Apartment,18,13308455.371479107
1582,1,3,3,Kanpur,2,Unfurnished,Apartment,23,8373601.417422568
3058,5,2,2,Noida,1,Furnished,House,13,34288013.16884908
2547,1,3,1,Bangalore,2,Semi-Furnished,Villa,4,35135773.940483905
3247,4,2,1,Bangalore,1,Unfurnished,Apartment,17,44061963.37032496
1475,2,2,1,Prayagraj,0,Semi-Furnished,House,9,7839554.14142536
2306,2,4,2,Delhi,0,Semi-Furnished,House,24,29759885.015383724
689,1,2,2,Jaipur,1,Semi-Furnished,Apartment,18,5813112.9594354695
3505,2,1,2,Jaipur,0,Furnished,Villa,11,30146325.08865446
3234,5,2,2,Pune,0,Semi-Furnished,Apartment,17,37680385.81936152
3505,3,4,2,Pune,1,Unfurnished,House,16,40875858.824641585
1062,1,2,1,Gurgaon,1,Furnished,Villa,29,14643954.87536329
2399,2,1,2,Mumbai,0,Unfurnished,House,23,37049700.73571243
1767,1,1,2,Prayagraj,2,Unfurnished,Apartment,10,9431746.788823942
3379,1,1,1,Gurgaon,2,Furnished,Villa,2,48450287.180998765
2028,3,4,2,Gurgaon,1,Unfurnished,House,22,29738446.515622918
3702,5,4,1,Lucknow,1,Unfurnished,House,16,28824059.441537563
1146,1,3,1,Lucknow,2,Furnished,House,0,9172003.452652482
2568,2,4,3,Gurgaon,0,Unfurnished,Apartment,14,37116885.840486355
3388,4,1,3,Kanpur,2,Semi-Furnished,Villa,27,19644991.264025148
2714,1,1,3,Mumbai,2,Unfurnished,Apartment,8,42978312.21613813
1797,1,4,3,Prayagraj,2,Semi-Furnished,Apartment,14,9768552.849734634
2935,3,2,2,Gurgaon,2,Unfurnished,Apartment,27,42571971.72311403
1100,5,4,3,Jaipur,1,Furnished,Villa,23,11895748.034344222
2863,4,4,1,Mumbai,1,Furnished,Apartment,27,45447368.86917189
2561,2,1,2,Lucknow,0,Unfurnished,Apartment,28,17902553.29950076
741,4,3,3,Jaipur,0,Furnished,Apartment,2,9279259.132543921
2541,2,1,1,Lucknow,0,Unfurnished,Apartment,21,17948209.604198743
3324,5,3,2,Lucknow,0,Furnished,House,26,25255014.67617062
3917,2,1,2,Mumbai,2,Semi-Furnished,Apartment,18,60696071.34582247
3112,3,4,3,Lucknow,1,Unfurnished,House,12,23846051.613238674
3445,3,1,2,Bangalore,1,Semi-Furnished,Apartment,11,47287449.09440107
1863,3,1,1,Delhi,0,Semi-Furnished,Villa,19,23984392.092940744
2639,3,1,2,Bangalore,0,Unfurnished,House,0,36309052.03166017
1890,4,4,1,Delhi,2,Semi-Furnished,House,20,26757985.249791596
3503,5,4,2,Pune,2,Unfurnished,House,16,42535660.25299237
1978,2,4,3,Pune,0,Semi-Furnished,House,12,23279770.947314307
3999,2,4,1,Lucknow,1,Unfurnished,Villa,0,30252828.628579028
3056,3,3,2,Prayagraj,1,Unfurnished,Apartment,9,16185110.666163506
1275,3,3,2,Prayagraj,1,Furnished,House,14,6958964.513044822
534,1,2,2,Delhi,0,Unfurnished,Villa,26,6970466.543738901
2753,5,4,1,Jaipur,1,Unfurnished,House,26,25589975.57013077
3652,4,3,1,Mumbai,2,Semi-Furnished,Apartment,29,57816948.7652577
2455,2,1,1,Lucknow,2,Unfurnished,House,6,18551328.602406476
2085,1,4,3,Mumbai,0,Furnished,Villa,27,33872065.82945985
3959,1,2,3,Bangalore,2,Semi-Furnished,Apartment,21,53339247.643122666
3573,2,2,1,Prayagraj,0,Semi-Furnished,Villa,17,17634979.866812598
1521,4,2,2,Kanpur,1,Furnished,Apartment,15,9577411.804039838
3961,1,1,3,Bangalore,1,Semi-Furnished,Apartment,13,53458567.88167971
3113,1,3,1,Bangalore,1,Semi-Furnished,Apartment,26,41930947.927115
1629,5,1,2,Delhi,2,Semi-Furnished,House,27,22512930.38377522
2000,4,4,3,Noida,0,Semi-Furnished,Villa,17,22743560.484550305
1202,1,2,2,Bangalore,1,Furnished,Villa,26,16018242.694941988
2949,4,1,2,Lucknow,0,Furnished,Villa,6,22231327.415628266
3277,2,1,2,Gurgaon,1,Semi-Furnished,Apartment,16,46809390.94301048
2079,3,3,2,Gurgaon,2,Semi-Furnished,House,28,30747328.45363617
661,1,3,3,Lucknow,2,Furnished,Apartment,17,5055263.620585232
701,5,2,3,Noida,0,Furnished,Villa,11,10376405.080607712
2481,2,1,3,Noida,2,Furnished,House,7,27307926.199781355
1495,4,1,1,Delhi,2,Semi-Furnished,House,21,20582936.606220994
2817,2,3,3,Prayagraj,0,Semi-Furnished,House,29,13448483.318154598
1315,1,1,2,Mumbai,1,Unfurnished,Villa,1,21217107.25297745
3842,4,1,3,Noida,2,Furnished,House,6,42253207.80629267
955,3,1,2,Kanpur,0,Semi-Furnished,House,3,7185316.727007086
1775,2,3,1,Delhi,2,Furnished,Apartment,17,24298581.33482563
1516,1,2,2,Pune,2,Semi-Furnished,Apartment,27,17073960.104658175
2843,5,4,2,Jaipur,2,Furnished,House,5,26980772.54678341
3267,4,2,2,Pune,2,Semi-Furnished,House,26,38403633.0458888
837,2,4,1,Delhi,0,Unfurnished,Apartment,8,12347094.372893859
1378,2,1,3,Bangalore,0,Unfurnished,Apartment,26,19306700.873200156
1576,3,2,3,Mumbai,0,Furnished,Apartment,8,25997383.980450474
1291,3,4,1,Jaipur,2,Semi-Furnished,Villa,13,12701662.504387965
2764,5,3,2,Pune,2,Semi-Furnished,Villa,7,34542120.61282319
1263,5,3,3,Jaipur,2,Furnished,Apartment,18,13195360.963847203
2735,1,2,1,Kanpur,0,Semi-Furnished,House,2,16256125.494855886
879,1,2,3,Kanpur,2,Furnished,Apartment,17,4908161.984812224
992,5,1,1,Kanpur,1,Semi-Furnished,Villa,4,8193982.593598293
3612,5,2,2,Delhi,2,Furnished,House,13,48176602.34874522
1680,4,1,3,Mumbai,1,Semi-Furnished,Villa,27,26857825.662131567
2562,3,1,1,Delhi,2,Furnished,House,29,32585756.31878459
564,1,3,3,Gurgaon,0,Semi-Furnished,Villa,3,9140114.565172648
3068,3,3,3,Bangalore,2,Unfurnished,House,6,42592663.79157908
1867,3,4,3,Bangalore,1,Semi-Furnished,House,19,25951602.699738003
1652,5,3,3,Kanpur,1,Furnished,House,24,11805968.08536322
2527,4,3,1,Gurgaon,2,Unfurnished,House,27,37386875.08904364
3195,2,2,2,Noida,1,Semi-Furnished,Villa,11,33993697.75965983
1995,4,3,1,Noida,1,Unfurnished,Villa,1,22882722.476783767
3634,4,4,1,Kanpur,0,Semi-Furnished,House,10,22346028.977301717
1662,3,2,1,Pune,2,Unfurnished,House,13,20200250.5027634
2022,4,4,2,Delhi,2,Furnished,Villa,21,28304374.78738275
3140,1,3,3,Kanpur,2,Semi-Furnished,House,22,17957627.71609374
891,3,4,3,Prayagraj,1,Semi-Furnished,House,15,5881219.475635984
2198,1,2,3,Jaipur,2,Furnished,House,19,18887493.11454153
918,2,1,2,Bangalore,2,Unfurnished,Apartment,28,12302391.94237521
2836,3,4,3,Noida,0,Furnished,House,5,31337496.3462735
878,2,4,2,Lucknow,0,Furnished,Apartment,22,6358468.557540644
2296,3,2,3,Noida,0,Unfurnished,House,3,25283901.248942353
2778,5,2,3,Bangalore,1,Furnished,Villa,14,40637325.76745397
3565,4,4,1,Jaipur,2,Semi-Furnished,Apartment,23,32525990.720136806
2588,5,3,2,Bangalore,0,Semi-Furnished,Apartment,24,36173541.97073232
3599,2,4,1,Lucknow,0,Semi-Furnished,House,0,27747133.411414467
2682,4,2,1,Kanpur,0,Furnished,House,6,16935171.85616927
700,3,1,1,Gurgaon,2,Semi-Furnished,Apartment,24,11187590.198486865
2363,4,1,2,Lucknow,2,Semi-Furnished,Villa,11,18581153.22853473
1279,1,3,2,Bangalore,2,Semi-Furnished,Villa,9,17781274.37510135
3477,4,4,3,Bangalore,1,Semi-Furnished,House,4,49534010.17291448
3604,1,1,1,Prayagraj,1,Semi-Furnished,Villa,11,18078359.786361843
3619,4,4,3,Prayagraj,0,Semi-Furnished,Villa,17,20082233.886089664
1002,1,2,1,Mumbai,2,Furnished,House,9,16388553.511592057
2954,2,1,2,Prayagraj,0,Semi-Furnished,Villa,5,15577107.386435464
2251,5,3,2,Delhi,2,Semi-Furnished,House,27,30962876.94404337
1304,3,2,2,Gurgaon,2,Unfurnished,Apartment,11,21297903.424408834
2646,4,3,1,Jaipur,2,Furnished,House,6,25600795.95027478
3231,5,2,2,Lucknow,1,Furnished,Apartment,17,25026822.580141522
2395,3,1,1,Bangalore,1,Furnished,Apartment,1,33548196.542550214
3273,3,3,3,Mumbai,2,Furnished,Villa,9,52403832.54099901
2070,1,3,1,Mumbai,0,Semi-Furnished,Villa,14,31799935.35269478
1460,2,2,3,Jaipur,2,Semi-Furnished,Villa,29,12946271.771276608
3160,2,3,1,Gurgaon,2,Unfurnished,House,11,45232538.654170826
1985,5,2,3,Lucknow,0,Unfurnished,Villa,25,15458772.843975369
3190,2,2,2,Noida,2,Furnished,Apartment,16,34830174.351451
1528,4,2,3,Prayagraj,0,Unfurnished,Villa,3,9718537.348101737
3789,2,2,2,Kanpur,1,Unfurnished,Villa,6,22322256.004735373
1002,5,1,2,Mumbai,1,Furnished,House,29,16282059.656947179
3314,2,2,3,Prayagraj,0,Furnished,House,8,17941263.366152406
897,4,4,1,Prayagraj,1,Unfurnished,Apartment,18,6228689.067273561
1370,1,3,1,Delhi,1,Semi-Furnished,House,27,17019062.086526025
3342,5,4,1,Gurgaon,0,Unfurnished,Villa,26,48092135.290083066
892,1,1,1,Kanpur,1,Unfurnished,House,22,4785269.47609605
706,1,4,1,Noida,2,Semi-Furnished,Apartment,6,8746352.556819221
1538,1,3,2,Bangalore,2,Semi-Furnished,Villa,22,20996328.958484206
2381,3,4,1,Delhi,0,Furnished,Apartment,1,31863284.161521215
3439,3,1,2,Prayagraj,1,Furnished,House,5,18868190.396767568
1984,1,2,2,Prayagraj,2,Unfurnished,House,17,9251994.723576942
1363,5,4,2,Pune,2,Semi-Furnished,Apartment,5,18769511.250008795
3290,4,1,3,Kanpur,1,Furnished,Villa,12,20281744.141569793
3812,4,1,3,Kanpur,1,Unfurnished,House,25,22526087.003353044
1063,2,3,2,Pune,2,Semi-Furnished,House,18,13134477.435580134
1520,5,3,3,Kanpur,2,Unfurnished,Villa,29,11006335.842130434
595,3,4,1,Prayagraj,0,Furnished,House,1,6027849.352486526
2423,1,2,1,Mumbai,0,Furnished,Apartment,11,37686396.03584353
2257,2,1,2,Lucknow,2,Semi-Furnished,House,14,16165078.682430193
3032,4,4,1,Prayagraj,0,Unfurnished,House,13,17487158.641146377
3978,3,1,2,Delhi,2,Semi-Furnished,Villa,5,51782680.3076279
2778,3,1,2,Gurgaon,2,Furnished,Apartment,17,40724309.85581109
3296,1,2,1,Pune,0,Furnished,Villa,4,37414216.69281394
2178,4,2,3,Noida,0,Unfurnished,House,17,24089994.55568361
3742,5,4,1,Bangalore,1,Unfurnished,House,2,53390496.87547634
1040,3,2,1,Noida,1,Unfurnished,Villa,2,12099791.104381504
1559,1,2,2,Prayagraj,1,Semi-Furnished,Villa,21,7505385.643120858
3072,5,4,2,Delhi,2,Unfurnished,Villa,21,41292279.71169583
1683,4,2,2,Prayagraj,0,Unfurnished,Apartment,9,10406936.16038634
2222,3,3,2,Gurgaon,2,Furnished,House,18,32259863.951864902
3814,5,1,3,Mumbai,0,Furnished,Villa,2,60945849.76386603
3657,5,1,3,Bangalore,2,Unfurnished,House,28,50866556.8453482
2319,5,1,3,Gurgaon,1,Unfurnished,Apartment,11,34809269.27270717
3125,3,1,2,Pune,1,Furnished,Apartment,28,35932318.59195148
3229,3,4,2,Pune,1,Unfurnished,Apartment,15,37793906.29930827
3104,2,1,2,Prayagraj,2,Semi-Furnished,Apartment,16,15932374.51878956
2097,4,1,3,Delhi,0,Semi-Furnished,House,6,28479467.213514607
3560,1,1,2,Gurgaon,0,Semi-Furnished,Apartment,12,50863777.45381163
3193,5,1,1,Jaipur,1,Unfurnished,Apartment,23,28462390.90991426
1295,2,3,1,Delhi,1,Furnished,Villa,1,18083865.55313981
1551,1,1,2,Mumbai,1,Unfurnished,Apartment,3,25184476.513868373
2143,2,3,1,Pune,1,Unfurnished,Villa,9,25261694.280757457
1863,3,4,1,Prayagraj,0,Furnished,Apartment,6,11471014.595836377
2481,5,2,3,Kanpur,2,Furnished,Apartment,23,16549079.603209516
1854,1,1,2,Pune,2,Furnished,Villa,16,20726879.06415053
2163,1,2,2,Bangalore,2,Semi-Furnished,Apartment,19,29288131.22324183
2029,1,2,3,Lucknow,2,Unfurnished,House,5,16125775.355072506
2538,1,4,1,Kanpur,1,Furnished,House,18,15423459.024419077
3919,1,2,1,Prayagraj,1,Unfurnished,Apartment,4,20295566.534842405
1996,2,3,2,Jaipur,1,Semi-Furnished,House,9,18104239.34408368
3802,5,2,1,Kanpur,2,Semi-Furnished,Villa,8,23889040.85936258
2737,3,2,3,Bangalore,1,Furnished,Apartment,26,36758007.0383821
3796,3,2,3,Delhi,1,Furnished,Apartment,12,50134411.97998284
1908,3,1,2,Jaipur,0,Unfurnished,Villa,18,17534935.522685
1900,3,1,3,Pune,0,Furnished,Villa,20,21701442.761229713
1806,2,3,3,Jaipur,1,Unfurnished,Villa,23,16089243.499039069
3180,4,3,2,Gurgaon,0,Furnished,Apartment,5,47075663.249253154
3175,5,1,3,Bangalore,0,Unfurnished,Villa,3,45419707.73066204
1472,1,3,3,Kanpur,1,Unfurnished,Villa,23,8684600.599150674
2268,4,1,3,Gurgaon,1,Unfurnished,House,26,32840590.619634826
1782,3,4,1,Jaipur,1,Unfurnished,House,2,17247957.19885216
3930,4,2,2,Gurgaon,1,Semi-Furnished,Apartment,2,57740433.92256291
1209,5,2,2,Noida,2,Unfurnished,House,3,15670408.71451869
1979,1,3,2,Bangalore,2,Furnished,House,24,26781042.47256492
1934,1,1,1,Mumbai,1,Semi-Furnished,Villa,4,30445614.460270848
1148,5,1,1,Delhi,0,Semi-Furnished,Villa,7,16678554.060064927
817,5,3,2,Jaipur,1,Unfurnished,House,15,9026429.61318409
3796,3,1,1,Bangalore,1,Semi-Furnished,House,21,51593897.62637365
1757,1,4,2,Mumbai,0,Unfurnished,House,2,28479085.17068952
1183,4,2,1,Mumbai,2,Furnished,Apartment,23,20761910.427733213
1163,2,3,3,Prayagraj,1,Unfurnished,Apartment,11,6532527.580811196
2498,2,3,3,Gurgaon,1,Semi-Furnished,Apartment,24,35984649.0961165
3945,5,1,2,Mumbai,2,Furnished,House,7,63411676.76598669
2131,3,3,1,Noida,2,Unfurnished,House,12,25375379.19916328
1995,2,4,1,Bangalore,0,Furnished,Apartment,3,28657985.958530735
3804,1,1,3,Lucknow,2,Furnished,Apartment,13,27190344.290817544
1636,5,1,3,Lucknow,2,Semi-Furnished,House,13,13811948.78251309
2353,4,1,1,Jaipur,2,Furnished,Villa,12,21363639.47266719
2020,5,1,1,Pune,0,Semi-Furnished,Apartment,26,24229696.396320466
2989,4,4,1,Gurgaon,2,Furnished,House,5,44204848.69543162
1063,5,1,1,Pune,2,Unfurnished,House,16,13487457.955707515
1791,5,3,1,Mumbai,0,Furnished,Villa,3,31187619.21841475
3957,5,4,1,Bangalore,2,Unfurnished,House,7,55197037.93047797
3958,4,2,2,Jaipur,2,Unfurnished,House,16,35087413.22085458
3684,4,2,1,Kanpur,0,Furnished,Apartment,2,22505836.75437052
2136,5,3,3,Mumbai,1,Unfurnished,Apartment,16,35293164.65380517
3499,2,3,2,Gurgaon,0,Furnished,Villa,8,50428272.65116967
3652,3,4,1,Lucknow,2,Furnished,Villa,1,28806277.645482086
1198,3,2,3,Prayagraj,2,Unfurnished,House,24,7579016.794866361
2660,3,2,2,Bangalore,2,Unfurnished,Apartment,12,36618523.390420586
501,4,2,3,Delhi,0,Semi-Furnished,Villa,19,7629619.031686618
1141,4,2,1,Pune,2,Unfurnished,Villa,1,17555475.061105978
2767,2,2,1,Jaipur,2,Semi-Furnished,Villa,19,23967792.65703232
2089,3,1,1,Pune,0,Unfurnished,House,27,23355694.602002047
1354,3,3,1,Bangalore,1,Furnished,Apartment,10,19550299.61862928
2259,5,1,2,Pune,1,Unfurnished,Villa,26,26778730.041845337
3796,4,2,2,Bangalore,2,Furnished,Apartment,25,51840431.31860577
2932,3,4,3,Pune,0,Furnished,Villa,21,34171214.93840256
3974,2,4,1,Noida,2,Furnished,Villa,14,43316286.723136716
2161,2,2,3,Kanpur,0,Semi-Furnished,Apartment,10,13087396.068853417
1653,3,2,2,Mumbai,0,Unfurnished,Apartment,22,25878456.751364406
1576,4,4,1,Mumbai,1,Furnished,Apartment,2,27505065.51057807
2207,2,1,1,Gurgaon,1,Furnished,House,2,32258523.47494034
3277,5,1,2,Delhi,0,Semi-Furnished,Villa,27,42938490.835274965
2195,2,2,2,Delhi,2,Unfurnished,House,25,27349772.973137423
2233,1,1,2,Gurgaon,1,Unfurnished,Apartment,11,31690422.12184574
1939,1,4,2,Prayagraj,2,Semi-Furnished,Villa,23,9158301.842048991
2794,4,1,2,Mumbai,1,Semi-Furnished,House,4,45139814.55276171
1335,3,2,1,Prayagraj,1,Unfurnished,Villa,19,8070468.146376538
702,4,4,2,Bangalore,2,Semi-Furnished,House,6,12859489.575801183
3755,4,1,1,Bangalore,1,Unfurnished,Apartment,6,52208730.0320485
622,4,3,1,Lucknow,1,Unfurnished,House,12,6991695.367646495
900,4,4,2,Pune,2,Furnished,Villa,8,12830497.51895877
1266,5,4,2,Delhi,1,Furnished,Villa,24,18147016.11503752
793,5,3,1,Lucknow,1,Unfurnished,Villa,20,9297379.081261864
2827,2,3,2,Kanpur,1,Unfurnished,Villa,12,17544780.155932605
3431,1,4,2,Gurgaon,2,Unfurnished,Apartment,11,48697508.074267305
697,4,3,2,Gurgaon,0,Unfurnished,House,12,11040668.039233504
3529,2,2,3,Bangalore,2,Unfurnished,Apartment,23,47353165.275468215
2430,1,2,1,Mumbai,0,Unfurnished,Apartment,9,38567934.25315433
3299,3,2,3,Prayagraj,1,Semi-Furnished,Apartment,0,18339469.577014383
2691,5,4,2,Delhi,0,Unfurnished,Villa,24,35094590.088819355
1108,1,3,3,Lucknow,2,Semi-Furnished,Villa,7,8867353.288405046
3772,3,3,2,Prayagraj,2,Semi-Furnished,Villa,21,19981599.224875726
1647,1,1,3,Lucknow,1,Unfurnished,House,15,10471166.31026726
686,5,1,2,Pune,0,Unfurnished,Villa,12,9845283.076025095
3897,5,3,3,Kanpur,1,Semi-Furnished,House,2,24616515.99620434
3011,2,3,3,Kanpur,1,Semi-Furnished,Villa,2,17743826.794605844
3920,4,3,3,Prayagraj,2,Unfurnished,Villa,23,21910253.7900827
2294,1,4,1,Prayagraj,0,Unfurnished,Apartment,4,12011798.899607535
1159,1,3,3,Prayagraj,0,Semi-Furnished,Apartment,25,5345457.63227186
3311,3,1,1,Lucknow,0,Semi-Furnished,Apartment,10,24086708.556966662
3502,5,4,2,Pune,0,Semi-Furnished,House,29,41273519.37546215
2455,1,3,3,Noida,1,Furnished,House,6,27760655.303527936
2950,5,1,2,Prayagraj,1,Semi-Furnished,Villa,20,15756906.564882034
1869,1,4,2,Mumbai,2,Furnished,House,23,29279198.242775705
2486,2,3,3,Delhi,1,Unfurnished,Villa,9,32834030.9395132
2034,4,3,1,Delhi,1,Unfurnished,House,9,27644004.12642025
646,1,3,3,Lucknow,2,Semi-Furnished,House,19,4960556.797710697
3719,5,4,2,Prayagraj,2,Unfurnished,House,1,22270349.90337478
3411,2,1,2,Bangalore,2,Unfurnished,Apartment,2,46438447.50664675
2234,1,1,3,Gurgaon,1,Unfurnished,House,7,31656678.74563491
2343,3,2,1,Noida,1,Unfurnished,Apartment,10,26035823.036540356
988,4,3,1,Mumbai,2,Furnished,Apartment,12,17613296.659432832
3476,1,2,2,Pune,2,Furnished,House,6,40052775.85731162
2459,2,2,2,Bangalore,2,Semi-Furnished,Villa,12,34197980.38405344
2163,3,1,1,Kanpur,1,Semi-Furnished,Villa,1,14931577.15098117
3098,2,4,3,Bangalore,1,Semi-Furnished,Villa,5,41774161.78407289
2885,2,4,2,Lucknow,0,Unfurnished,House,8,21711304.330397278
3419,3,1,1,Noida,1,Unfurnished,Villa,19,36167281.9638789
1140,2,4,2,Jaipur,1,Furnished,Apartment,24,10333314.999674547
2302,3,2,3,Jaipur,1,Furnished,Villa,1,21877233.66534704
3020,1,3,1,Prayagraj,2,Semi-Furnished,House,17,16096896.261071187
2469,3,1,2,Prayagraj,1,Furnished,Villa,15,13870457.288409203
2698,3,3,3,Lucknow,2,Furnished,Apartment,24,20853646.25742521
1938,4,4,2,Pune,0,Furnished,House,11,24068632.464189786
3869,3,3,3,Prayagraj,0,Furnished,Villa,6,21607365.13735358
2134,3,4,3,Gurgaon,2,Furnished,House,6,33174424.89730292
762,1,4,1,Noida,2,Semi-Furnished,House,16,9070400.227270756
2287,4,2,3,Lucknow,2,Semi-Furnished,House,12,18797618.300783783
2691,5,4,2,Delhi,1,Furnished,Villa,10,37077218.50925829
2893,1,2,3,Kanpur,0,Semi-Furnished,House,5,17655916.25777544
1123,1,2,3,Lucknow,2,Unfurnished,Villa,28,7680168.381318221
1516,5,2,1,Lucknow,1,Furnished,Apartment,22,12357239.759153407
1380,3,1,3,Jaipur,0,Unfurnished,Villa,26,11482004.284864191
2549,2,1,3,Mumbai,1,Semi-Furnished,Apartment,13,39917785.483381175
3444,4,4,2,Pune,0,Semi-Furnished,Villa,5,41364994.097164154
1827,2,2,1,Mumbai,1,Unfurnished,House,5,29062873.669312026
2801,5,1,1,Gurgaon,0,Semi-Furnished,Villa,1,41788945.77050217
952,1,2,1,Delhi,0,Furnished,House,21,11681925.345289618
3608,1,3,3,Jaipur,1,Unfurnished,Apartment,19,30218712.226834744
1683,4,3,1,Delhi,2,Furnished,Villa,24,23573742.330776792
3562,1,3,3,Gurgaon,0,Unfurnished,House,14,51023951.80155289
2556,1,4,3,Mumbai,2,Semi-Furnished,Apartment,27,40328116.33914615
3804,4,2,2,Lucknow,1,Unfurnished,Apartment,16,28435922.10468925
3670,4,3,2,Prayagraj,2,Unfurnished,Villa,28,19621808.597304065
2182,5,1,2,Prayagraj,2,Furnished,Apartment,7,12860213.322130324
3363,1,3,2,Bangalore,2,Semi-Furnished,House,4,46285216.44762067
2755,1,3,2,Kanpur,2,Furnished,Apartment,16,16262815.85309281
1654,5,3,3,Pune,2,Semi-Furnished,Apartment,19,22546773.69826284
903,3,4,3,Gurgaon,0,Furnished,House,0,15685551.181007871
2699,3,1,1,Kanpur,0,Unfurnished,Apartment,21,15972022.463285428
2601,3,2,3,Pune,0,Furnished,Apartment,17,30260395.34450334
3691,5,1,3,Kanpur,1,Semi-Furnished,Apartment,14,23370253.268538613
2196,1,2,2,Mumbai,2,Semi-Furnished,Apartment,4,34460530.66480974
1127,5,4,3,Pune,0,Unfurnished,House,6,16392218.906007016
1086,5,4,2,Mumbai,1,Semi-Furnished,Apartment,17,18980828.24988135
2148,3,4,1,Lucknow,0,Furnished,House,5,17005238.071392633
1943,2,4,1,Jaipur,0,Unfurnished,Apartment,21,16352110.25029777
1945,1,2,3,Mumbai,2,Semi-Furnished,Apartment,20,30560038.11152455
603,3,3,1,Prayagraj,1,Semi-Furnished,Apartment,4,5279664.513131594
753,2,2,3,Kanpur,2,Furnished,Apartment,29,4286058.487616988
3798,2,1,1,Bangalore,2,Furnished,House,18,50698830.60451209
3683,4,4,2,Noida,0,Unfurnished,House,9,41910861.113350034
3057,1,4,2,Pune,2,Semi-Furnished,House,14,35271598.03119841
1996,2,1,2,Gurgaon,1,Furnished,Villa,9,28510352.31273971
598,3,2,2,Bangalore,2,Unfurnished,Apartment,26,9914366.481809013
2700,4,3,3,Prayagraj,2,Semi-Furnished,Apartment,15,15201468.540429143
2384,1,3,1,Mumbai,2,Semi-Furnished,House,11,38282908.53572689
3461,5,1,3,Jaipur,0,Unfurnished,Villa,17,30396904.717994712
2419,3,3,2,Lucknow,1,Unfurnished,Apartment,22,18055526.884896513
1377,2,2,3,Noida,0,Furnished,House,0,16209645.612691194
837,2,2,1,Delhi,0,Semi-Furnished,Apartment,15,11267281.525197987
3369,3,1,3,Bangalore,0,Semi-Furnished,Apartment,21,45629581.51075653
3734,2,2,1,Jaipur,0,Semi-Furnished,House,5,32346182.576987997
1456,4,4,3,Delhi,0,Unfurnished,House,2,20446701.924050204
2204,1,1,1,Noida,1,Furnished,Apartment,1,24724788.192182355
660,4,2,1,Gurgaon,2,Semi-Furnished,Apartment,27,10451085.811312966
2103,2,1,2,Gurgaon,0,Unfurnished,House,1,30786506.22776617
3348,5,3,1,Kanpur,0,Semi-Furnished,Apartment,29,20899778.745816164
897,1,2,2,Noida,1,Furnished,Apartment,12,10122879.102155697
1800,1,4,2,Noida,1,Semi-Furnished,House,8,19795704.36653089
1315,3,2,2,Delhi,2,Furnished,Apartment,15,18698882.480975885
2027,3,1,3,Jaipur,1,Furnished,Apartment,26,17883639.587512434
